Economic_Resilience_Index;Country;Fiscal_space;Monetary_policy_space;low-carbon_economy;Insurance_penetration;Financial_Market_development;Human_capital;Economic_complexity;Labour_market_efficiency;Banking_industry_backdrop;Macroeconomic_Resilience_index;Year
31;Greece;0.00;0.15;0.38;0.02;0.46;0.50;0.00;0.18;0.00;0.12;2011
1;Canada;0.92;0.17;0.21;0.57;0.90;1.00;0.45;1.00;1.00;0.79;2010
2;Switzerland;0.95;0.13;1.00;0.78;1.00;0.90;1.00;0.57;1.00;0.77;2010
3;Norway;0.99;0.22;1.00;0.23;1.00;0.67;0.48;0.80;0.75;0.77;2010
4;Sweden;0.94;0.19;0.88;0.63;0.79;0.79;0.97;0.68;0.70;0.73;2010
5;Finland;0.71;0.19;0.32;0.89;0.81;1.00;0.88;0.87;0.67;0.67;2010
6;Austria;0.94;0.19;0.74;0.39;0.46;0.76;0.85;0.53;0.61;0.64;2010
7;Netherlands;0.92;0.19;0.34;1.00;0.85;0.94;0.65;0.16;0.66;0.61;2010
8;United States;0.69;0.14;0.08;0.99;1.00;0.77;0.88;0.10;1.00;0.57;2010
9;Chile;1.00;0.43;0.71;0.18;0.00;0.23;0.00;0.95;0.54;0.67;2010
10;Denmark;0.72;0.16;0.51;0.77;0.38;0.82;0.60;0.28;1.00;0.55;2010
11;France;0.76;0.19;0.63;0.92;0.56;0.75;0.80;0.57;0.43;0.58;2010
12;Germany;0.94;0.19;0.41;0.54;0.71;0.86;1.00;0.10;0.39;0.57;2010
13;New Zealand;0.79;0.29;0.66;0.41;0.00;0.91;0.12;0.98;0.83;0.64;2010
14;Australia;0.34;0.35;0.00;0.46;1.00;0.89;0.00;0.95;0.85;0.57;2010
15;India;1.00;0.28;0.24;0.24;0.35;0.00;0.06;0.69;0.25;0.59;2010
16;Belgium;0.87;0.19;0.36;0.65;0.15;0.85;0.57;0.02;0.54;0.48;2010
17;United Kingdom;0.53;0.16;0.49;0.98;0.90;0.78;0.88;0.00;0.95;0.49;2010
18;China;1.00;0.27;0.00;0.15;0.42;0.28;0.25;0.46;0.58;0.60;2010
19;South Africa;1.00;0.35;0.00;1.00;0.10;0.00;0.00;0.94;0.22;0.63;2010
20;South Korea;0.72;0.25;0.01;0.89;0.94;1.00;0.85;0.20;0.31;0.53;2010
21;Russia;1.00;0.24;0.00;0.00;0.27;0.65;0.33;0.00;0.46;0.49;2010
22;Japan;0.00;0.11;0.39;0.84;0.75;1.00;1.00;0.37;0.82;0.34;2010
23;Hungary;0.60;0.72;0.32;0.09;0.42;0.77;0.68;0.24;0.43;0.51;2010
24;Mexico;0.89;0.64;0.41;0.00;0.00;0.05;0.49;0.56;0.01;0.54;2010
25;Spain;0.00;0.19;0.55;0.33;0.90;0.63;0.46;0.56;0.06;0.27;2010
26;Brazil;0.71;0.49;0.99;0.07;0.29;0.00;0.28;0.85;0.22;0.56;2010
27;Portugal;0.00;0.19;0.68;0.79;0.35;0.65;0.10;0.37;0.04;0.18;2010
28;Ireland;0.00;0.19;0.46;0.87;0.40;0.81;0.76;0.00;0.69;0.22;2010
29;Italy;0.00;0.19;0.60;0.67;0.65;0.64;0.67;0.48;0.01;0.24;2010
30;Greece;0.00;0.19;0.39;0.02;0.44;0.50;0.00;0.42;0.00;0.17;2010
31;Turkey;0.23;0.25;0.43;0.00;0.35;0.27;0.04;0.58;0.00;0.27;2010
1;Switzerland;0.98;0.15;1.00;0.79;1.00;0.90;1.00;0.58;1.00;0.78;2009
2;Canada;0.99;0.17;0.21;0.59;0.98;1.00;0.46;1.00;1.00;0.82;2009
3;Norway;1.00;0.23;1.00;0.23;1.00;0.66;0.52;0.78;0.76;0.78;2009
4;Sweden;0.98;0.16;0.88;0.61;0.73;0.80;0.98;0.76;0.71;0.75;2009
5;Finland;0.97;0.20;0.32;0.78;0.75;1.00;0.92;0.86;0.67;0.76;2009
6;United States;0.90;0.17;0.08;1.00;1.00;0.74;0.87;0.21;1.00;0.67;2009
7;Netherlands;0.99;0.20;0.34;1.00;0.77;0.94;0.65;0.43;0.65;0.68;2009
8;Austria;0.99;0.20;0.74;0.40;0.50;0.75;0.86;0.71;0.59;0.70;2009
9;Denmark;0.92;0.20;0.51;0.77;0.33;0.78;0.58;0.57;1.00;0.67;2009
10;Germany;0.99;0.20;0.41;0.55;0.75;0.85;1.00;0.24;0.35;0.61;2009
11;United Kingdom;0.66;0.18;0.49;1.00;0.92;0.79;0.87;0.00;0.91;0.54;2009
12;France;0.92;0.20;0.63;0.91;0.50;0.75;0.79;0.61;0.38;0.64;2009
13;Chile;0.99;0.40;0.71;0.16;0.06;0.17;0.00;0.95;0.57;0.67;2009
14;Belgium;0.96;0.20;0.36;0.66;0.27;0.86;0.58;0.31;0.55;0.58;2009
15;Japan;0.72;0.13;0.39;0.86;0.73;0.99;1.00;0.36;0.83;0.59;2009
16;Australia;0.39;0.33;0.00;0.48;0.98;0.89;0.00;0.99;0.89;0.60;2009
17;New Zealand;0.46;0.29;0.66;0.41;0.00;0.93;0.17;1.00;0.84;0.53;2009
18;South Korea;0.63;0.26;0.01;0.86;0.94;1.00;0.82;0.33;0.28;0.52;2009
19;India;1.00;0.27;0.24;0.28;0.48;0.00;0.05;0.73;0.28;0.61;2009
20;Russia;1.00;0.26;0.00;0.00;0.60;0.59;0.33;0.00;0.56;0.54;2009
21;Spain;0.11;0.20;0.55;0.38;1.00;0.63;0.46;0.73;0.18;0.37;2009
22;China;1.00;0.27;0.00;0.11;0.44;0.28;0.22;0.44;0.60;0.60;2009
23;South Africa;0.89;0.39;0.00;1.00;0.19;0.00;0.04;0.91;0.23;0.60;2009
24;Ireland;0.00;0.20;0.46;0.79;0.40;0.80;0.74;0.00;0.68;0.22;2009
25;Portugal;0.56;0.20;0.68;0.69;0.27;0.59;0.08;0.50;0.16;0.40;2009
26;Hungary;0.07;0.72;0.32;0.09;0.44;0.76;0.67;0.27;0.41;0.32;2009
27;Italy;0.18;0.20;0.60;0.62;0.73;0.62;0.67;0.44;0.00;0.31;2009
28;Mexico;0.23;0.64;0.41;0.00;0.00;0.03;0.47;0.61;0.02;0.32;2009
29;Brazil;0.00;0.54;0.99;0.08;0.27;0.00;0.27;0.87;0.31;0.33;2009
30;Greece;0.00;0.20;0.39;0.01;0.46;0.53;0.00;0.58;0.00;0.20;2009
31;Turkey;0.00;0.33;0.43;0.00;0.33;0.25;0.01;0.33;0.00;0.16;2009
1;Switzerland;1.00;0.11;1.00;0.76;1.00;0.89;0.99;0.96;1.00;0.85;2008
2;Canada;1.00;0.16;0.21;0.53;0.83;1.00;0.41;1.00;0.95;0.80;2008
3;Norway;1.00;0.23;1.00;0.20;0.98;0.64;0.44;0.97;0.75;0.80;2008
4;United States;0.97;0.10;0.08;1.00;0.92;0.75;0.87;0.79;1.00;0.78;2008
5;Sweden;1.00;0.17;0.88;0.56;0.71;0.83;0.97;1.00;0.61;0.78;2008
6;Netherlands;0.99;0.21;0.34;1.00;0.71;0.95;0.65;1.00;0.59;0.77;2008
7;Finland;1.00;0.21;0.32;0.69;0.54;1.00;0.89;0.98;0.65;0.76;2008
8;United Kingdom;0.78;0.19;0.49;1.00;0.94;0.80;0.86;0.76;0.89;0.72;2008
9;Austria;1.00;0.21;0.74;0.38;0.83;0.76;0.84;0.89;0.54;0.76;2008
10;Denmark;0.94;0.24;0.51;0.75;0.13;0.78;0.56;1.00;1.00;0.74;2008
11;Germany;1.00;0.21;0.41;0.48;0.77;0.85;1.00;0.79;0.40;0.72;2008
12;France;0.98;0.21;0.63;0.79;0.63;0.76;0.76;0.94;0.17;0.70;2008
13;Belgium;0.99;0.21;0.36;0.68;0.50;0.86;0.61;1.00;0.30;0.71;2008
14;Chile;0.95;0.45;0.71;0.19;0.00;0.10;0.00;0.96;0.71;0.68;2008
15;Ireland;0.64;0.21;0.46;0.80;0.52;0.81;0.72;1.00;0.74;0.65;2008
16;Japan;0.94;0.08;0.39;0.83;0.75;1.00;1.00;0.39;0.83;0.67;2008
17;Australia;0.50;0.28;0.00;0.52;0.88;0.88;0.00;1.00;0.84;0.61;2008
18;New Zealand;0.69;0.32;0.66;0.38;0.00;0.91;0.18;1.00;0.83;0.61;2008
19;Spain;0.67;0.21;0.55;0.35;0.92;0.63;0.45;0.94;0.20;0.60;2008
20;South Korea;0.72;0.24;0.01;0.83;0.77;1.00;0.77;0.56;0.51;0.60;2008
21;Hungary;0.60;0.51;0.32;0.11;0.40;0.78;0.65;0.51;0.28;0.50;2008
22;Russia;1.00;0.31;0.00;0.00;0.50;0.61;0.28;0.28;0.60;0.59;2008
23;India;0.95;0.26;0.24;0.26;0.35;0.00;0.04;0.70;0.23;0.57;2008
24;Portugal;0.79;0.21;0.68;0.72;0.44;0.57;0.09;0.81;0.25;0.57;2008
25;China;1.00;0.24;0.00;0.10;0.38;0.28;0.19;0.28;0.45;0.54;2008
26;South Africa;0.62;0.36;0.00;1.00;0.17;0.00;0.04;0.97;0.24;0.51;2008
27;Italy;0.55;0.21;0.60;0.40;0.71;0.63;0.65;0.52;0.00;0.45;2008
28;Mexico;0.46;0.54;0.41;0.00;0.00;0.00;0.46;0.67;0.11;0.40;2008
29;Greece;0.00;0.21;0.39;0.00;0.63;0.54;0.00;0.74;0.06;0.25;2008
30;Brazil;0.00;0.13;0.99;0.07;0.35;0.00;0.31;0.90;0.23;0.28;2008
31;Turkey;0.00;0.21;0.43;0.00;0.27;0.22;0.00;0.21;0.00;0.11;2008
1;Switzerland;1.00;0.32;1.00;0.78;1.00;0.89;0.98;1.00;1.00;0.89;2007
2;United States;0.98;0.39;0.08;1.00;1.00;0.76;0.89;0.89;1.00;0.85;2007
3;United Kingdom;0.86;0.43;0.49;1.00;1.00;0.82;0.86;1.00;0.95;0.84;2007
4;Canada;1.00;0.39;0.21;0.54;0.88;1.00;0.44;1.00;0.92;0.84;2007
5;Norway;1.00;0.43;1.00;0.25;1.00;0.62;0.47;1.00;0.72;0.84;2007
6;Netherlands;1.00;0.39;0.34;1.00;0.90;0.96;0.63;1.00;0.58;0.82;2007
7;Sweden;1.00;0.39;0.88;0.55;0.77;0.85;0.97;1.00;0.52;0.81;2007
8;Finland;1.00;0.39;0.32;0.67;0.65;1.00;0.92;1.00;0.61;0.80;2007
9;Germany;1.00;0.39;0.41;0.49;0.88;0.85;1.00;0.99;0.42;0.80;2007
10;Denmark;0.99;0.39;0.51;0.70;0.17;0.77;0.55;1.00;1.00;0.78;2007
11;Austria;1.00;0.39;0.74;0.38;0.71;0.77;0.83;0.93;0.47;0.77;2007
12;France;0.98;0.39;0.63;0.89;0.75;0.77;0.77;0.98;0.17;0.75;2007
13;Ireland;0.83;0.39;0.46;1.00;0.46;0.83;0.73;1.00;0.68;0.73;2007
14;Belgium;1.00;0.39;0.36;0.77;0.44;0.87;0.64;1.00;0.19;0.72;2007
15;Chile;0.98;0.53;0.71;0.13;0.08;0.04;0.00;0.96;0.74;0.71;2007
16;Spain;0.85;0.39;0.55;0.32;1.00;0.63;0.45;0.97;0.19;0.70;2007
17;Australia;0.64;0.45;0.00;0.64;1.00;0.87;0.00;1.00;0.77;0.69;2007
18;New Zealand;0.83;0.45;0.66;0.34;0.00;0.90;0.21;0.99;0.88;0.69;2007
19;Japan;0.90;0.21;0.39;0.73;0.85;1.00;1.00;0.40;0.84;0.69;2007
20;Hungary;0.99;0.65;0.32;0.15;0.50;0.79;0.63;0.53;0.36;0.68;2007
21;South Korea;0.80;0.44;0.01;0.86;0.85;1.00;0.73;0.55;0.64;0.67;2007
22;Russia;0.96;0.39;0.00;0.00;0.56;0.63;0.31;0.21;0.58;0.58;2007
23;India;0.98;0.36;0.24;0.28;0.27;0.00;0.01;0.71;0.18;0.58;2007
24;Portugal;0.64;0.39;0.68;0.64;0.65;0.55;0.08;0.92;0.22;0.58;2007
25;South Africa;0.61;0.47;0.00;1.00;0.13;0.00;0.05;0.98;0.24;0.52;2007
26;China;1.00;0.34;0.00;0.04;0.50;0.28;0.11;0.02;0.39;0.51;2007
27;Italy;0.43;0.39;0.60;0.46;0.79;0.63;0.66;0.54;0.00;0.44;2007
28;Mexico;0.48;0.44;0.41;0.00;0.00;0.00;0.42;0.61;0.19;0.39;2007
29;Greece;0.24;0.39;0.39;0.00;0.42;0.56;0.00;0.74;0.00;0.34;2007
30;Brazil;0.00;0.33;0.99;0.07;0.27;0.00;0.31;0.79;0.11;0.27;2007
31;Turkey;0.00;0.42;0.43;0.00;0.38;0.20;0.00;0.34;0.00;0.17;2007
